Informacje:
Lumberjack
Aby uzyskać ocenę 3.0 z projektu należy:

W serwisie Optil.io zapisać się na konkurs Lumberjack Challenge.
Do dnia 31 stycznia 2017 włącznie zgłosić rozwiązanie zadania Lumberjack w serwisie Optil.io, które dla co najmniej 10 instancji dostanie więcej niż 0 punktów.
Do dnia 2 lutego 2017 włącznie zgłosić kod rozwiązania przez system Moodle, korzystając z tego formularza.
Ocenę można sobie podwyższyć poprzez (w nawiasie podano o ile):

(+0.5) Znalezienie się w Top 10 rankingu na koniec konkursu (31 stycznia 2017).
(+0.5) Znalezienie się w Top 10 rankingu na koniec dnia 22 grudnia 2016.
(+0.2) Zgłoszenie do końca dnia 22 grudnia 2016 rozwiązania, które otrzyma więcej punktów niż udostępniony szablon (liczy się ostatnie zgłoszenie przed tą datą).
(+0.3) Zgłoszenie do końca dnia 22 grudnia 2016 rozwiązania, które otrzyma dwa razy więcej punktów niż udostępniony szablon (liczy się ostatnie zgłoszenie przed tą datą).
(+0.5) Zgłoszenie do końca konkursu rozwiązania, które otrzyma dwa razy więcej punktów niż udostępniony szablon (liczy się ostatnie zgłoszenie przed końcem konkursu).
(+0.5) Zgłoszenie kodu, który przejdzie weryfikację stylu kodowania.
(+0.3) Wygenerowanie dokumentacji dla napisanego kodu w formacie HTML.
(+0.2) Napisanie raportu opisującego zaimplementowane rozwiązanie.

Wieksza instancja wejscia:
160 50 99
0 27 7 9 24 116
1 17 7 5 212 344
2 10 2 10 226 499
2 15 1 9 498 345
2 16 2 7 320 89
2 19 2 9 174 460
2 36 9 7 287 37
2 39 10 8 226 269
2 45 7 5 490 141
3 8 3 11 499 277
3 9 9 8 229 480
4 3 6 2 178 32
4 26 2 4 196 47
4 27 5 6 166 116
7 16 9 6 219 498
7 20 7 8 168 259
7 25 9 3 107 468
7 49 3 8 74 162
9 24 6 5 436 39
9 35 2 3 487 371
9 43 7 6 145 55
9 45 2 7 436 500
9 49 1 11 479 343
10 22 2 7 432 149
10 32 2 9 443 77
10 41 6 7 191 298
12 25 4 5 110 493
12 29 5 2 221 200
13 35 2 5 199 212
14 22 8 4 188 14
14 33 7 4 368 58
14 36 1 9 220 306
16 27 3 4 343 185
17 15 4 4 440 259
17 16 5 5 327 422
17 18 8 10 102 424
17 21 2 7 221 1
17 22 1 1 59 407
17 40 2 10 487 51
20 26 5 1 130 218
21 15 3 5 469 393
21 16 2 8 439 83
21 17 4 8 219 398
21 25 8 8 179 11
21 34 9 4 107 354
21 42 5 6 426 458
22 10 9 8 231 425
22 14 5 4 494 290
22 40 9 8 178 224
22 41 3 9 473 383
22 44 8 9 56 409
22 45 4 2 499 375
23 42 5 5 455 442
24 12 6 10 10 292
24 15 3 2 48 257
24 18 3 3 424 105
24 27 4 6 487 394
24 41 7 8 207 239
25 15 3 9 232 70
25 19 1 6 475 145
26 17 2 9 214 417
26 22 6 7 195 454
26 24 8 3 343 59
26 27 9 7 133 248
26 42 8 4 424 136
27 31 10 7 238 51
27 43 8 5 334 175
28 17 7 9 237 224
28 21 8 10 230 81
29 21 8 5 461 3
30 10 3 6 427 340
30 22 2 6 458 493
30 28 6 3 306 266
31 7 2 13 467 428
31 9 8 9 127 319
32 21 5 8 462 379
32 25 10 3 458 16
32 45 10 6 224 482
33 18 4 3 82 244
33 21 9 2 207 147
33 42 9 9 250 45
33 45 11 4 394 427
34 5 2 6 223 21
36 3 1 6 94 191
36 21 8 9 257 207
37 9 1 2 275 255
39 0 5 10 117 435
39 41 6 10 227 42
40 14 9 6 113 500
41 7 8 9 34 207
43 11 1 12 486 117
43 35 10 3 431 323
46 22 2 10 435 211
48 38 5 9 275 482
48 46 9 8 170 143
49 14 2 9 126 6
49 21 6 7 182 40
49 22 8 7 137 154
49 26 2 8 482 143

